Book/Paper,Taxon,Culture#,Chromosome#,Total#ofChromosomes,Source/Locality,Collection Date,Collector,Latitude,Longitude,"Comments(habitat is forest,floodplain=out of the way,non-city)"
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. canadense,355,2n,28,Arkansas. Drew Co.: Monticello,5/22/1946,D. Demaree 25607,33.629196,-91.7803,coordinates in James T. Jordan Municipal Park next to Godfrey Creek
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. canadense,562,2n,28,Georgia. Oglethorp Co.: 12 mi. n.e. of Lexington,5/14/1947,W.H. Duncan,34.00216,-82.976136,
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. canadense,560,2n,28,Georgia. Oglethorp Co.: 5 mi. w. of Philomath,(June 1947),A. Cronquist,33.727453,-83.078508,
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. canadense,195,2n,28,Iowa. Poweshiek Co.: n. edge of Grinnell,6/12/1942,Mrs. D.E. Peck,41.762688,-92.726412,north edge of Grinnell next to Sugar Creek
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. canadense,87,2n,28,Kansas. Shawnee or Douglas Co.: between Topeka and Lawrence,not provided,Rev. S.V. Fraser,39.051887,-95.500661,coordinate next to the Kansas River
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. canadense,276,2n,28,Louisiana. Orleans Parish : New Orleans,1945,George Paeth,30.073957,-89.860767,"used Google Maps and used coordinate for Bayou Sauvage National Wildlife refuge, where US11 &US90 meet"
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. canadense,279,2n,28,Louisiana. St. Tammany Parish : Mandeville,1945,George Paeth,30.351677,-90.036819,"used Google Maps and used coordinates for Bayou Castine near state park, water,US Hwy190"
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. canadense,245,2n,28,Mississippi. Clay Co.: 4 mi. s. of West Point,(April 1944),O.A. Leonard,33.549754,-88.659032,
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. canadense,986,2n,28,Mississippi. Harisson Co.: Gulfport,4/11/1953,D. Memaree 33229,30.440079,-89.024935,used Google Maps and coordinate is next to Biloxi River
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. canadense,135a,2n,28,Missouri. Jefferson Co.: 2 mi. s. of Cedar Hill,8/24/1941,M. Ownbey 2477a,38.3208,-90.64399,2 miles south of Cedar Hill next to Big River
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. canadense,819a,2n,28,Missouri. Johnson Co.: Knobnoster State Park,(June 1950),Edgar Anderson,38.742255,-93.608242,"coordinates in Knob Noster State Park, next to McAdoo Creek and SE State Hwy Dd"
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. canadense,140,2n,28,Missouri. Montgomery Co.: just n.e. of Mineola,8/31/1941,M. Ownbey 2482,38.889633,-91.569173,coordinates between Crooked Creek and 214 State Hwy J
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. canadense,136,2n,28,Missouri. Washington Co.: 2 mi. n. of Potosi,8/24/1941,M. Ownbey 2478,37.978996,-90.784062,coordinates near Mine A Breton Creek
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. canadense,288,2n,21,Nebraska. Washington Co.: Blair,6/17/1945,H.T. Rogers,41.553068,-96.0985,"coordinates in Blair,NE next to Missouri River"
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. canadense,263,2n,28,North Carolina. New Hanover Co.: near Carolina Beach,1937,H.A Davis,34,-77.9,near Carolina Beach next to US Route 421
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. canadense,345,2n,28,Oklahoma. Pittsburg Co.: 2 mi. e. of Stuart,5/3/1946,R. Stratton 6278,34.901278,-96.058283,coordinate near Hegwood Creek
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. canadense,354,2n,28,Oklahoma. Rogers Co.: 7 mi. n.e. of Claremore,5/14/1946,R. Stratton 6326,36.380942,-95.441542,coordinate next to US Route 44
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. canadense,117,2n,28,Texas. Brazos Co.: Lick Creek& Peach Creek Rd.,4/27/1940,R.G. Reeves 301,30.553163,-96.18742,
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. canadense,316,2n,28,Texas. Gonzalez Co.: Palmetto State Park,4/8/1945,V.L. Cory 48824,29.591913,-97.586315,coordinate in the Palmeto State Park next to the San Marcos River
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. canadense,353,2n,28,Texas. Travis Co.: upper Bull Creek,5/18/1946,Tharp&Barkley&Lamotte 16T251,30.403916,-97.785684,
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. canadense,262,2n,28,West Virginia. Monongalia Co.: below Morgantown,7/23/1994,H.A Davis,39.5,-79.9,"Used Google Maps and clicked underneath the southern most point of Morgantown, near US Route 119"
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. ecristatum,635,2n,28,Texas. Wilson Co.: 9 mi. w. of Floresville,4/1/1949,V.L. Cory 55377,29.136638,-98.33149,
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. Fraseri,88,2n,14,Kansas. Cloud Co.: 1 mi. s.e. of Aurora,5/20/1941,Rev. S.V. Fraser,39.383566,-97.468033,
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. Fraseri,690,2n,14,Oklahoma. Comanche Co.: Mt. Scott near Fort Sill,(August 1949),Edgar Anderson,34.751225,-98.682112,coordinate is the Wichita Mountains Wildlife Refuge
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. Fraseri,314,2n,14,Texas. Burnet Co.: Granite Mt. Marble Falls,6/4/1945,V.L. Cory 49515,30.561717,-98.31099,coordinate is between Granite Mountain Road and the Colorado River
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. Fraseri,972,2n,14,Texas. Comal Co.: 8 mi. w. of New Braunfels,4/11/1953,R.C. Rollins 5388,29.710796,-98.381957,
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. Fraseri,553,2n,21,Texas. Denton Co.: 4.5 mi. n. of Grapevine,4/29/1947,L.H. Shinners 9200,33.028801,-97.072402,
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. Fraseri,989,2n,14,Texas. Edwards Co.: 10 mi. s.e. of Rock Springs,5/14/1953,H.D. Ripley & R.C. Barneby 11109,29.908861,-100.082894,
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. Fraseri,313,2n,14,Texas. Gonzalez Co.: Palmetto State Park,4/8/1945,V.L. Cory 48826,29.591904,-97.586401,
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. Fraseri,612,2n,14,Texas. Tarrant Co.: Bluebird Ave. Oakhurst Fort Worth,4/16/1948,V.L. Cory 54345,32.786769,-97.316744,
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. Fraseri,347,2n,14,Texas. Travis Co.: n.e. of Austin,4/4/1946,B.C. Tharp & F.A. Barkley 15T101,30.320802,-97.676154,coordinate 5.7 miles ne of Austin near where I-35 and US Route 183 cross
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. hyacinthoides,636,2n,14,Texas. Bosque Co.: 6.75 mi. n. of Valley Mills,4/4/1949,V.L. Cory 55479,31.761612,-97.473082,
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. hyacinthoides,339,2n,14,Texas. Dallas Co.: 1 mi. n.e. of S.M.U. campus Dallas,4/3/1946,L.H. Shinners 8491,32.853458,-96.774261,
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. lavendulare,86,2n,14,Kansas. Cloud Co.: 5 mi. s. of Aurora,5/20/1941,Rev. S.V. Fraser,39.322374,-97.536697,
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. lavendulare,135,2n,28,Missouri. Jefferson Co.: 2 mi. s. of Cedar Hill,8/24/1941,M. Ownbey 2477,38.3208,-90.644377,
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. lavendulare,819,2n,28,Missouri. Johnson Co.: Knobnoster State Park,(June 1950),Edgar Anderson,38.742255,-93.608242,"coordinates in Knob Noster State Park, next to McAdoo Creek and SE State Hwy Dd"
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. lavendulare,139,2n,28,Missouri. Montgomery Co.: just n.e. of Mineola,8/31/1941,M. Ownbey 2481,38.889633,-91.569173,coordinates between Crooked Creek and 214 State Hwy J
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. lavendulare,138,2n,28,Missouri. St. Francois Co.: 5.5 mi. s.e. of Cadet,7/20/1941,F.G. Meyer 2087,37.927073,-90.616681,
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. lavendulare,137,2n,28,Missouri. Washington Co.: n. edge of Potosi,8/24/1941,M. Ownbey 2479,37.978996,-90.784062,coordinates near Mine A Breton Creek
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. lavendulare,150,2n,14,Nebraska. Clay Co.: 3 mi. s.e. of Fairfield,7/5/1941,W.L. Tolstead 41216,40.394759,-98.058609,
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. mobilense,655,2n,14,Alabama. Escambia Co.: Escambia Experimental Forest,4/17/1949,X.M. & E.M. Gaines 284,31.001508,-87.036154,
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. mobilense,855,2n,14,Florida. Okaloosa Co.: 5 mi. n.e. of Ft. Walton,4/12/1951,Mrs. J. Norman Henry,30.461808,-86.543214,
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. mobilense,689,2n,14,Missouri. Taney Co.: Hollister,(August 1949) ,Edgar Anderson,36.621081,-93.217068,coordinate near Turkey Creek
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. mobilense,746,2n,14,Oklahoma. McCurtain Co.: 11 mi. e. of Bethel,4/15/1949,Mrs. J. Norman Henry,34.358762,-94.645443,
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. mobilense,745,2n,14,Oklahoma. McCurtain Co.: 5 mi. n.e. of Idabel,4/11/1949,Mrs. J. Norman Henry,33.971833,-94.702178,
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. mobilense,747,2n,14,Oklahoma. Pushmataha Co.: 14 mi. n.e. of Finley,4/9/1949,Mrs. J. Norman Henry,34.455144,-95.303823,
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. mobilense,311,2n,14,Texas. Aransas Co.: Aransas Refuge,4/9/1945,V.L. Cory 48895,28.246813,-96.858324,
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. mobilense,166,2n,14,Texas. Brazos Co.: 2 mi. n. of Bryan,4/17/1942,R.G. Reeves,30.740674,-96.36663,
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. mobilense,310,2n ,14,Texas. Brazos Co.: 3 mi. n. of Bryan,4/7/1945,V.L. Cory 48812,30.754616,-96.364828,
Cytotaxonomic Studies in Allium:the Allium canadense Alliance(book),Allium canadense var. mobilense,421,2n,14,Texas. Brazos Co.: between Bryan and Hearne,4/23/1940,R.G. Reeves 294,30.790755,-96.490116,coordinate near US Route 190
